promedio_tiempo_interacciones,papa,cursos_inscritos_periodo,num_cursos_plataforma,papa-1,delta_papa,modalidad_colegio,calendario,jornada,tipo_colegio,categoria_colegio,ciudad,Clase
1.111111111,3.9,6,1,3.8,0.1,0,0,2,0,0,36,B
57.39086022,3.6,3,2,3.6,0,2,0,2,1,2,32,B
140.1261905,3.6,4,3,3.6,0,2,0,2,1,2,32,B
49.28333333,3.8,6,2,3.8,0,2,0,0,1,2,1,B
63.01770833,3.2,0,2,3.2,0,2,0,0,1,6,27,B
245.625,3.2,4,1,3.4,-0.2,2,0,4,1,2,1,B
110.8555556,3,4,1,3.1,-0.1,2,0,2,1,2,32,B
114.7194444,3,3,2,3.1,-0.1,2,0,2,1,2,32,B
241.4222222,3.2,4,1,3.3,-0.1,2,0,2,1,2,1,B
97.775,3.2,3,5,3.3,-0.1,2,0,2,1,2,1,B
122.8363636,3.3,5,1,3.3,0,2,0,4,1,2,37,B
142.5083333,3.6,4,5,3.6,0,2,0,2,1,2,1,B
105.3416667,3.2,4,1,3.1,0.1,2,0,2,1,2,1,B
0.355555556,3.2,3,3,3.1,0.1,2,0,2,1,2,1,B
140.4866667,3.6,2,1,3.7,-0.1,0,0,0,0,0,1,B
163.65,3.8,4,2,3.7,0.1,2,0,0,1,2,36,B
3.166666667,3.6,3,1,3.6,0,2,0,2,1,2,1,B
126.7222222,3.7,6,1,3.7,0,0,0,0,0,0,1,B
35.77708333,3.3,4,5,3.3,0,1,1,1,1,1,1,B
44.05797101,3.3,3,2,3.3,0,1,1,1,1,1,1,B
176.1547619,3.2,4,1,3.2,0,3,0,5,0,5,1,B
65.72777778,3.3,5,3,3.3,0,2,0,2,1,2,1,B
215.1692982,3.4,6,2,3.3,0.1,2,0,2,1,2,1,B
89.05,3.3,6,1,3.3,0,2,0,4,1,2,1,B
7.65952381,3.2,4,2,3.2,0,0,2,0,0,4,1,B
11.13188406,3.4,3,2,3.4,0,2,0,2,1,2,1,B
27.88623188,3.4,2,2,3.4,0,2,0,2,1,2,1,B
193.4355556,3.6,8,2,3.5,0.1,2,0,2,1,6,1,B
169.4125,3.5,3,1,3.4,0.1,0,0,0,0,0,1,B
52.90625,3.5,5,1,3.5,0,0,0,0,0,0,1,B
149.8362745,3.6,6,1,3.5,0.1,2,0,2,1,2,1,B
154.9214286,3,0,2,3,0,0,0,2,0,0,1,B
